timestamp,stablecoin_mcap,stablecoin_flow_7d,stablecoin_trend
2023-12-15,1.28657033608,0.0,0.0
2023-12-16,1.2890513746,0.0,0.0
2023-12-17,1.29063637629,0.0,0.0
2023-12-18,1.29015031925,0.0,0.0
2023-12-19,1.28970939315,0.0,0.0
2023-12-20,1.29422664867,0.0,0.0
2023-12-21,1.29768206142,0.0,0.0
2023-12-22,1.29750972047,0.1093938439,0.000593977631210274
2023-12-23,1.30096467058,0.1191329598,0.0011344402495716555
2023-12-24,1.30264758238,0.1201120609,0.0017098119950229584
2023-12-25,1.30205189562,0.1190157637,0.0024507268561499984
2023-12-26,1.30165114766,0.1194175451,0.0033165824338921013
2023-12-27,1.29856434758,0.0433769891,0.003596723536095192
2023-12-28,1.30308051436,0.0539845294,0.0037721283482330392
2023-12-29,1.30127450544,0.0376478497,0.003916560002160674
2023-12-30,1.30222897841,0.0126430783,0.0037730620704350404
2023-12-31,1.30124866033,-0.0139892205,0.0034141825287041794
2024-01-01,1.29859457422,-0.034573214,0.0029655070811283046
2024-01-02,1.30383535367,0.0218420601,0.0029320665049661354
2024-01-03,1.30519519721,0.0663084963,0.0033629411567996925
2024-01-04,1.31058332221,0.0750280785,0.00371962794131786
2024-01-05,1.31747014371,0.1619563827,0.004832452868698267
2024-01-06,1.32162262901,0.193936506,0.006213636395528965
2024-01-07,1.3254096956,0.2416103527,0.008056517704551514
2024-01-08,1.32468055239,0.2608597817,0.010195165554149233
2024-01-09,1.32747450537,0.236391517,0.012034866843245506
2024-01-10,1.32718468383,0.2198948662,0.013755304683884972
2024-01-11,1.33174089322,0.2115757101,0.015305030137717335
2024-01-12,1.33492919418,0.1745905047,0.016415261955009752
2024-01-13,1.32848084114,0.0685821213,0.016585682537455737
2024-01-14,1.33483939213,0.0942969653,0.016365157557438392
2024-01-15,1.33643690196,0.1175634957,0.01642172847992973
2024-01-16,1.33328810363,0.0581359826,0.015953134365116473
2024-01-17,1.33303152738,0.0584684355,0.015483256048293814
2024-01-18,1.33838153607,0.0664064285,0.014951617861056699
2024-01-19,1.33212160698,-0.028075872,0.013672451728341084
2024-01-20,1.33382766867,0.0534682753,0.013325078671110102
2024-01-21,1.33601080444,0.0117141231,0.012465539790895264
2024-01-22,1.33323162976,-0.032052722,0.011293110435939502
2024-01-23,1.33469762719,0.0140952356,0.010627393067415225
2024-01-24,1.3426417899,0.0961026252,0.0106315687202998
2024-01-25,1.34096302686,0.0258149079,0.009909369756130326
2024-01-26,1.34283564758,0.107140406,0.009939752165473159
2024-01-27,1.34504985266,0.1122218399,0.010083258199145462
2024-01-28,1.34577707161,0.0976626717,0.010005519126930817
2024-01-29,1.34639409625,0.1316246649,0.010301585251565326
2024-01-30,1.34961628533,0.1491865814,0.010679155333849888
2024-01-31,1.34774487698,0.0510308708,0.009983434881387865
2024-02-01,1.34810889312,0.0714586626,0.009631260891508342
2024-02-02,1.35182189276,0.0898624518,0.009417480052898553
2024-02-03,1.35156862056,0.065187679,0.00908245319581713
2024-02-04,1.35114784659,0.0537077498,0.008809199210827456
2024-02-05,1.35192933985,0.055352436,0.00863860700405672
2024-02-06,1.35037122383,0.007549385,0.008092607618760184
2024-02-07,1.35376172995,0.0601685297,0.008004830135734498
2024-02-08,1.35691616402,0.088072709,0.008205305785011996
2024-02-09,1.35990760111,0.0808570835,0.008246559932449493
2024-02-10,1.36216578607,0.1059716551,0.00861225980795255
2024-02-11,1.36487499462,0.1372714803,0.00932193734361908
2024-02-12,1.36712929476,0.1519995491,0.009969191853806736
2024-02-13,1.36308364561,0.1271242178,0.010611589735811666
2024-02-14,1.36494948959,0.1118775964,0.011084773134081516
2024-02-15,1.3745498461,0.1763368208,0.011921193855394474
2024-02-16,1.3728654685,0.1295786739,0.012296983478017331
2024-02-17,1.37643068398,0.1426489791,0.01285473558130712
2024-02-18,1.37833718894,0.1346219432,0.013122858569576401
2024-02-19,1.37729551309,0.1016621833,0.013111324747081321
2024-02-20,1.37733094582,0.1424730021,0.013583210297241743
2024-02-21,1.37830847596,0.1335898637,0.013867130475398115
2024-02-22,1.37864502674,0.0409518064,0.01320477141183396
2024-02-23,1.38222591671,0.0936044821,0.013205001256824556
2024-02-24,1.38844487107,0.1201418709,0.013287736579471687
2024-02-25,1.38604888095,0.0771169201,0.013025228134630806
2024-02-26,1.38717009231,0.0987457922,0.013016698623840917
2024-02-27,1.39171411289,0.1438316707,0.013385247981538395
2024-02-28,1.39745563867,0.1914716271,0.014123864856032009
2024-02-29,1.40219483545,0.2354980871,0.015282331084756517
2024-03-01,1.40771887477,0.2549295806,0.016457537346935114
2024-03-02,1.41327289263,0.2482802156,0.01743205753311483
2024-03-03,1.41416665777,0.2811777682,0.018814578259251924
2024-03-04,1.41814692822,0.3097683591,0.02038481233266065
2024-03-05,1.42022023732,0.2850612443,0.02163279980335142
2024-03-06,1.42187077061,0.2441513194,0.022432601213353776
2024-03-07,1.42510030337,0.2290546792,0.02295617287334295
2024-03-08,1.43027623142,0.2255735665,0.023398149980585536
2024-03-09,1.44231334178,0.2904044915,0.024286453198635982
2024-03-10,1.44529954882,0.3113289105,0.025385742680898327
2024-03-11,1.44758505698,0.2943812876,0.026306513243162133
2024-03-12,1.45499453854,0.3477430122,0.027653238238444233
2024-03-13,1.45754493537,0.3567416476,0.029078610837846686
2024-03-14,1.46558119311,0.4048088974,0.03069109600393438
2024-03-15,1.46828439516,0.3800816374,0.03202467937710707
2024-03-16,1.46743921596,0.2512587418,0.03230357957301866
2024-03-17,1.46876265044,0.2346310162,0.0323403382025802
2024-03-18,1.46550073394,0.1791567696,0.03198391432734726
2024-03-19,1.47255744345,0.1756290491,0.031468969248947376
2024-03-20,1.47644219456,0.1889725919,0.030971257689012655
2024-03-21,1.4716475591,0.0606636599,0.029308618145890142
2024-03-22,1.47728792148,0.0900352632,0.02783481422601053
2024-03-23,1.47773831456,0.102990986,0.026494065506120323
2024-03-24,1.48106198281,0.1229933237,0.0253642817824693
2024-03-25,1.47928095798,0.1378022404,0.024575979955897553
2024-03-26,1.49255042173,0.1999297828,0.02403527645190695
2024-03-27,1.49550503421,0.1906283965,0.023362290389451923
2024-03-28,1.49509029523,0.2344273613,0.023240084550355755
2024-03-29,1.49754480031,0.2025687883,0.022882719551724717
2024-03-30,1.49961299512,0.2187468056,0.02274789286813661
2024-03-31,1.50193422084,0.2087223803,0.022590379838036245
2024-04-01,1.4992900842,0.2000912622,0.02254014257838377
2024-04-02,1.50352360852,0.1097318679,0.021532801870793428
2024-04-03,1.51003445464,0.1452942043,0.020816505469778646
2024-04-04,1.52385591005,0.2876561482,0.021212027327435656
2024-04-05,1.53261138879,0.3506658848,0.022051162750511777
2024-04-06,1.54361665751,0.4400366239,0.023568942005055105
2024-04-07,1.54389293646,0.4195871562,0.024994678971689055
2024-04-08,1.54165741442,0.4236733022,0.026780419728241966
2024-04-09,1.54194431925,0.3842071073,0.028242337873498613
2024-04-10,1.53988841857,0.2985396393,0.028978966261547168
2024-04-11,1.53698116691,0.1312525686,0.02835327626743367
2024-04-12,1.54295198853,0.1034059974,0.027386650360252673
2024-04-13,1.54501512423,0.0139846672,0.02570978065863949
2024-04-14,1.5511314158,0.0723847934,0.024515462323751347
2024-04-15,1.55140490618,0.0974749176,0.023537802734299396
2024-04-16,1.55686992301,0.1492560376,0.022959739633988896
2024-04-17,1.56678799557,0.26899577,0.0232165313751731
2024-04-18,1.54386300345,0.0688183654,0.022261644049079488
2024-04-19,1.57622908528,0.3327709675,0.02315176027095367
2024-04-20,1.56298771467,0.1797259044,0.022792349144023616
2024-04-21,1.56414822154,0.1301680574,0.022070636080510964
2024-04-22,1.58592308619,0.3451818001,0.02288450813873344
2024-04-23,1.59144341338,0.3457349037,0.02365083816293545
2024-04-24,1.59087665433,0.2408865876,0.02341242242883057
2024-04-25,1.59628474575,0.524217423,0.025975567105098074
2024-04-26,1.59669250332,0.2046341804,0.025627756054662276
2024-04-27,1.59460408109,0.3161636642,0.026347808144723484
2024-04-28,1.59635488627,0.3220666473,0.027134680050828308
2024-04-29,1.59629015966,0.1036707347,0.02595794350721148
2024-04-30,1.59351506461,0.0207165123,0.024136916791143825
2024-05-01,1.59511423624,0.0423758191,0.02242863027424602
2024-05-02,1.5914794833,-0.0480526245,0.02007229552011225
2024-05-03,1.59283121311,-0.0386129021,0.017922625720647734
2024-05-04,1.59923840868,0.0463432759,0.01671419033474586
2024-05-05,1.6022328001,0.0587791383,0.015746826872048647
2024-05-06,1.6020889973,0.0579883764,0.01501488360391079
2024-05-07,1.6015573743,0.0804230969,0.014505591705254561
2024-05-08,1.59899088181,0.0387664557,0.01362724281126515
2024-05-09,1.59791335824,0.0643387494,0.013011597703591393
2024-05-10,1.59836302986,0.0553181675,0.012262387459501145
2024-05-11,1.59627637026,-0.0296203842,0.010730846151189466
2024-05-12,1.59758925132,-0.0464354878,0.009150412434747679
2024-05-13,1.59715868217,-0.0493031513,0.0076005817795135044
2024-05-14,1.59807398413,-0.0348339017,0.00629417793283249
2024-05-15,1.59587414539,-0.0311673642,0.005075439698936313
2024-05-16,1.60154657934,0.036332211,0.004460791109985207
2024-05-17,1.60297770834,0.0461467848,0.004113754511332557
2024-05-18,1.60546420835,0.0918783809,0.0036436978066842762
2024-05-19,1.60883125228,0.1124200096,0.003966752459873657
2024-05-20,1.60837532395,0.1121664178,0.004019023232521235
2024-05-21,1.60541672825,0.0734274412,0.0038111468954786787
2024-05-22,1.60615860858,0.1028446319,0.004306639369828114
2024-05-23,1.60666393708,0.0511735774,0.004445159079427663
2024-05-24,1.60481010198,0.0183239364,0.004317165203279849
2024-05-25,1.60840074479,0.0293653644,0.004325849425867556
2024-05-26,1.60842185004,-0.0040940224,0.004043951271121005
2024-05-27,1.60545664693,-0.0291867702,0.003556583931177304
2024-05-28,1.60460410323,-0.0081262502,0.003311719999243401
2024-05-29,1.60205854637,-0.0410006221,0.0028254500405178185
2024-05-30,1.59870652889,-0.0795740819,0.0020072335196668067
2024-05-31,1.6028182361,-0.0199186588,0.0016689212741936021
2024-06-01,1.60404173099,-0.043590138,0.001018426320282373
2024-06-02,1.60458331023,-0.0383853981,0.00043152812806535046
2024-06-03,1.60235408255,-0.0310256438,9.012898441040917e-05
2024-06-04,1.60562612199,0.0102201876,0.00011064537384308792
2024-06-05,1.60847562893,0.0641708256,0.0005497283998994185
2024-06-06,1.61037854885,0.1167201996,0.001406277125417521
2024-06-07,1.61186293849,0.0904470239,0.001944070471183057
2024-06-08,1.61510433864,0.1106260765,0.0025713089267664913
2024-06-09,1.6155634251,0.1098011487,0.003190559808942117
2024-06-10,1.61609542268,0.1374134013,0.004000492170740388
2024-06-11,1.61282870103,0.0720257904,0.004323617752852726
2024-06-12,1.61106382662,0.0258819769,0.004264003062197208
2024-06-13,1.61366264893,0.0328410008,0.00423121985447894
2024-06-14,1.61457126342,0.0270832493,0.0040825659005379045
2024-06-15,1.61514830531,0.0004396667,0.003803364391485653
2024-06-16,1.61245180377,-0.0311162133,0.00332987943051255
2024-06-17,1.61338151448,-0.027139082,0.0029242526135930813
2024-06-18,1.61175143284,-0.0107726819,0.0027679025761762066
2024-06-19,1.61626331989,0.0519949327,0.0030656878112533814
2024-06-20,1.61415971304,0.0049706411,0.0029281596090744433
2024-06-21,1.61519610218,0.0062483876,0.002795905753878003
2024-06-22,1.61802128537,0.0287298006,0.002815030188744627
2024-06-23,1.61819802934,0.0574622557,0.0030468823184159888
2024-06-24,1.61534043233,0.0195891785,0.003076571556936969
2024-06-25,1.61480169058,0.0305025774,0.003214660000141034
2024-06-26,1.61508060337,-0.0118271652,0.0029100375751853758
2024-06-27,1.61544966368,0.0128995064,0.0027994003383218224
2024-06-28,1.61450403062,-0.0069207156,0.0024799803929629327
2024-06-29,1.61206848738,-0.0595279799,0.0016756304595957339
